date,fitted
1982-06,
1982-07,
1982-08,
1982-09,
1982-10,
1982-11,
1982-12,
1983-01,
1983-02,
1983-03,
1983-04,
1983-05,
1983-06,98.76345825195312
1983-07,98.89901733398438
1983-08,99.18287658691406
1983-09,99.57281494140625
1983-10,99.95015716552734
1983-11,100.24815368652344
1983-12,100.34648895263672
1984-01,100.36467742919922
1984-02,100.33128356933594
1984-03,100.46659088134766
1984-04,100.68619537353516
1984-05,100.7713851928711
1984-06,100.76936340332031
1984-07,100.92051696777344
1984-08,101.79974365234375
1984-09,102.8507308959961
1984-10,103.53368377685547
1984-11,103.61515808105469
1984-12,103.14198303222656
1985-01,102.54395294189453
1985-02,102.12096405029297
1985-03,101.95521545410156
1985-04,101.96086120605469
1985-05,102.0163345336914
1985-06,102.06513977050781
1985-07,102.11763000488281
1985-08,102.14530181884766
1985-09,102.1656723022461
1985-10,102.20845031738281
1985-11,102.25119018554688
1985-12,102.27886199951172
1986-01,102.2831802368164
1986-02,99.88168334960938
1986-03,96.62195587158203
1986-04,94.10972595214844
1986-05,92.9700698852539
1986-06,93.07801818847656
1986-07,93.69944763183594
1986-08,94.31563568115234
1986-09,94.64041137695312
1986-10,95.02381134033203
1986-11,95.33747863769531
1986-12,95.47039794921875
1987-01,95.35993194580078
1987-02,95.24158477783203
1987-03,95.114990234375
1987-04,94.99807739257812
1987-05,95.18130493164062
1987-06,95.51546478271484
1987-07,95.68830108642578
1987-08,96.16719818115234
1987-09,96.71684265136719
1987-10,97.32383728027344
1987-11,98.66893768310547
1987-12,100.39957427978516
1988-01,101.9310073852539
1988-02,103.97682189941406
1988-03,105.78251647949219
1988-04,107.03388977050781
1988-05,108.44062042236328
1988-06,109.73812103271484
1988-07,110.66082763671875
1988-08,111.27664184570312
1988-09,111.60611724853516
1988-10,111.81183624267578
1988-11,111.99142456054688
1988-12,112.05625915527344
1989-01,112.04083251953125
1989-02,112.11398315429688
1989-03,112.35187530517578
1989-04,112.66436767578125
1989-05,112.92552947998047
1989-06,112.90591430664062
1989-07,112.66529083251953
1989-08,112.2949447631836
1989-09,111.76241302490234
1989-10,111.26397705078125
1989-11,110.93826293945312
1989-12,110.66051483154297
1990-01,110.22416687011719
1990-02,108.89834594726562
1990-03,107.15755462646484
1990-04,105.72714233398438
1990-05,105.06695556640625
1990-06,105.30512237548828
1990-07,105.83551788330078
1990-08,106.51972961425781
1990-09,106.82888793945312
1990-10,106.65754699707031
1990-11,106.1165771484375
1990-12,105.7110824584961
1991-01,105.38774871826172
1991-02,105.13078308105469
1991-03,104.77855682373047
1991-04,104.21553039550781
1991-05,103.39385223388672
1991-06,102.51314544677734
1991-07,102.11473083496094
1991-08,102.03600311279297
1991-09,101.82537841796875
1991-10,101.63971710205078
1991-11,101.50074768066406
1991-12,101.49312591552734
1992-01,101.40716552734375
1992-02,100.96469116210938
1992-03,100.46199035644531
1992-04,100.0184555053711
1992-05,99.86328125
1992-06,99.73025512695312
1992-07,99.7209243774414
1992-08,99.62930297851562
1992-09,99.67449188232422
1992-10,99.71552276611328
1992-11,99.50885772705078
1992-12,99.31523895263672
1993-01,99.3118896484375
1993-02,99.62149047851562
1993-03,100.18853759765625
1993-04,100.89464569091797
1993-05,101.74751281738281
1993-06,102.39713287353516
1993-07,102.72164154052734
1993-08,103.0908203125
1993-09,103.51040649414062
1993-10,103.76219940185547
1993-11,104.06027221679688
1993-12,104.32089233398438
1994-01,104.96874237060547
1994-02,105.728759765625
1994-03,106.67321014404297
1994-04,107.42626190185547
1994-05,108.02790832519531
1994-06,108.58831024169922
1994-07,108.90921783447266
1994-08,109.18173217773438
1994-09,109.48981475830078
1994-10,109.9937973022461
1994-11,110.432373046875
1994-12,110.70858764648438
1995-01,110.78803253173828
1995-02,111.4949722290039
1995-03,112.88172912597656
1995-04,114.53520202636719
1995-05,115.9146957397461
1995-06,116.68915557861328
1995-07,116.75122833251953
1995-08,116.34738159179688
1995-09,116.28907775878906
1995-10,116.1766128540039
1995-11,115.61919403076172
1995-12,115.10708618164062
1996-01,114.52042388916016
1996-02,113.88733673095703
1996-03,113.22662353515625
1996-04,112.5173568725586
1996-05,112.23829650878906
1996-06,112.62017059326172
1996-07,113.4366226196289
1996-08,114.13626861572266
1996-09,114.47616577148438
1996-10,114.53484344482422
1996-11,114.29164123535156
1996-12,113.79801940917969
1997-01,113.15799713134766
1997-02,112.57009887695312
1997-03,112.29904174804688
1997-04,112.27204895019531
1997-05,112.60775756835938
1997-06,112.60889434814453
1997-07,112.39315795898438
1997-08,112.4866943359375
1997-09,112.63963317871094
1997-10,113.10014343261719
1997-11,113.57300567626953
1997-12,114.0025863647461
1998-01,114.25013732910156
1998-02,114.30413818359375
1998-03,114.2012939453125
1998-04,113.9916763305664
1998-05,114.00857543945312
1998-06,114.24105834960938
1998-07,114.4952621459961
1998-08,114.58455657958984
1998-09,114.41449737548828
1998-10,113.67539978027344
1998-11,112.62117004394531
1998-12,110.57073211669922
1999-01,107.98753356933594
1999-02,105.02430725097656
1999-03,102.33463287353516
1999-04,100.57221221923828
1999-05,99.6956787109375
1999-06,99.44161224365234
1999-07,99.72752380371094
1999-08,100.08390045166016
1999-09,100.28055572509766
1999-10,100.1434097290039
1999-11,99.5612564086914
1999-12,99.1088638305664
2000-01,98.86722564697266
2000-02,99.22058868408203
2000-03,99.88087463378906
2000-04,101.07024383544922
2000-05,102.41577911376953
2000-06,103.62239837646484
2000-07,103.98631286621094
2000-08,103.743408203125
2000-09,102.98617553710938
2000-10,102.0732192993164
